03-31 03:47:01: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 119288/1000000 | Epsilon 0.41 | Last score: 11.0
Run 1 | Ep 7100 | Steps 120573/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 7200 | Steps 121793/1000000 | Epsilon 0.40 | Last score: 12.0
Run 1 | Ep 7300 | Steps 123037/1000000 | Epsilon 0.39 | Last score: 13.0
Run 1 | Ep 7400 | Steps 124280/1000000 | Epsilon 0.38 | Last score: 17.0
Run 1 | Ep 7500 | Steps 125473/1000000 | Epsilon 0.38 | Last score: 12.0
Run 1 | Ep 7600 | Steps 126645/1000000 | Epsilon 0.37 | Last score: 14.0
Run 1 | Ep 7700 | Steps 127862/1000000 | Epsilon 0.37 | Last score: 10.0
Run 1 | Ep 7800 | Steps 129076/1000000 | Epsilon 0.36 | Last score: 15.0
Run 1 | Ep 7900 | Steps 130258/1000000 | Epsilon 0.36 | Last score: 11.0
Run 1 | Ep 8000 | Steps 131461/1000000 | Epsilon 0.35 | Last score: 8.0
Run 1 | Ep 8100 | Steps 132639/1000000 | Epsilon 0.34 | Last score: 10.0
Run 1 | Ep 8200 | Steps 133791/1000000 | Epsilon 0.34 | Last score: 13.0
Run 1 | Ep 8300 | Steps 134926/1000000 | Epsilon 0.33 | Last score: 10.0
Run 1 | Ep 8400 | Steps 136114/1000000 | Epsilon 0.33 | Last score: 11.0
Run 1 | Ep 8500 | Steps 137259/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 8600 | Steps 138400/1000000 | Epsilon 0.31 | Last score: 12.0
Run 1 | Ep 8700 | Steps 139537/1000000 | Epsilon 0.31 | Last score: 10.0
Run 1 | Ep 8800 | Steps 140673/1000000 | Epsilon 0.30 | Last score: 13.0
Run 1 | Ep 8900 | Steps 141781/1000000 | Epsilon 0.30 | Last score: 9.0
Run 1 | Ep 9000 | Steps 142906/1000000 | Epsilon 0.29 | Last score: 12.0
Run 1 | Ep 9100 | Steps 144016/1000000 | Epsilon 0.29 | Last score: 11.0
Run 1 | Ep 9200 | Steps 145166/1000000 | Epsilon 0.28 | Last score: 9.0
Run 1 | Ep 9300 | Steps 146301/1000000 | Epsilon 0.28 | Last score: 11.0
Run 1 | Ep 9400 | Steps 147448/1000000 | Epsilon 0.27 | Last score: 14.0
Run 1 | Ep 9500 | Steps 148561/1000000 | Epsilon 0.26 | Last score: 10.0
Run 1 | Ep 9600 | Steps 149658/1000000 | Epsilon 0.26 | Last score: 15.0
Run 1 | Ep 9700 | Steps 150758/1000000 | Epsilon 0.25 | Last score: 9.0
Run 1 | Ep 9800 | Steps 151846/1000000 | Epsilon 0.25 | Last score: 12.0
Run 1 | Ep 9900 | Steps 152947/1000000 | Epsilon 0.24 | Last score: 10.0
Run 1 | Ep 10000 | Steps 154015/1000000 | Epsilon 0.24 | Last score: 12.0
Run 1 | Ep 10100 | Steps 155079/1000000 | Epsilon 0.23 | Last score: 14.0
Run 1 | Ep 10200 | Steps 156173/1000000 | Epsilon 0.23 | Last score: 12.0
Run 1 | Ep 10300 | Steps 157245/1000000 | Epsilon 0.22 | Last score: 14.0
Run 1 | Ep 10400 | Steps 158311/1000000 | Epsilon 0.22 | Last score: 10.0
Run 1 | Ep 10500 | Steps 159359/1000000 | Epsilon 0.21 | Last score: 9.0
Run 1 | Ep 10600 | Steps 160437/1000000 | Epsilon 0.21 | Last score: 12.0
Run 1 | Ep 10700 | Steps 161493/1000000 | Epsilon 0.20 | Last score: 9.0
Run 1 | Ep 10800 | Steps 162561/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10900 | Steps 163582/1000000 | Epsilon 0.19 | Last score: 8.0
Run 1 | Ep 11000 | Steps 164644/1000000 | Epsilon 0.19 | Last score: 9.0
Run 1 | Ep 11100 | Steps 165744/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 11200 | Steps 166789/1000000 | Epsilon 0.17 | Last score: 13.0
Run 1 | Ep 11300 | Steps 167844/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11400 | Steps 168900/1000000 | Epsilon 0.16 | Last score: 12.0
Run 1 | Ep 11500 | Steps 169969/1000000 | Epsilon 0.16 | Last score: 10.0
Run 1 | Ep 11600 | Steps 171000/1000000 | Epsilon 0.15 | Last score: 10.0
Run 1 | Ep 11700 | Steps 172017/1000000 | Epsilon 0.15 | Last score: 11.0
Run 1 | Ep 11800 | Steps 173049/1000000 | Epsilon 0.14 | Last score: 11.0
Run 1 | Ep 11900 | Steps 174067/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12000 | Steps 175072/1000000 | Epsilon 0.13 | Last score: 10.0
