03-31 04:28:42: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 119835/1000000 | Epsilon 0.41 | Last score: 13.0
Run 1 | Ep 7100 | Steps 121045/1000000 | Epsilon 0.40 | Last score: 21.0
Run 1 | Ep 7200 | Steps 122255/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7300 | Steps 123482/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7400 | Steps 124770/1000000 | Epsilon 0.38 | Last score: 11.0
Run 1 | Ep 7500 | Steps 125973/1000000 | Epsilon 0.38 | Last score: 9.0
Run 1 | Ep 7600 | Steps 127158/1000000 | Epsilon 0.37 | Last score: 9.0
Run 1 | Ep 7700 | Steps 128346/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 7800 | Steps 129560/1000000 | Epsilon 0.36 | Last score: 11.0
Run 1 | Ep 7900 | Steps 130741/1000000 | Epsilon 0.35 | Last score: 10.0
Run 1 | Ep 8000 | Steps 131945/1000000 | Epsilon 0.35 | Last score: 11.0
Run 1 | Ep 8100 | Steps 133195/1000000 | Epsilon 0.34 | Last score: 11.0
Run 1 | Ep 8200 | Steps 134320/1000000 | Epsilon 0.34 | Last score: 20.0
Run 1 | Ep 8300 | Steps 135512/1000000 | Epsilon 0.33 | Last score: 13.0
Run 1 | Ep 8400 | Steps 136665/1000000 | Epsilon 0.32 | Last score: 17.0
Run 1 | Ep 8500 | Steps 137841/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 8600 | Steps 138997/1000000 | Epsilon 0.31 | Last score: 15.0
Run 1 | Ep 8700 | Steps 140153/1000000 | Epsilon 0.31 | Last score: 12.0
Run 1 | Ep 8800 | Steps 141241/1000000 | Epsilon 0.30 | Last score: 9.0
Run 1 | Ep 8900 | Steps 142343/1000000 | Epsilon 0.30 | Last score: 9.0
Run 1 | Ep 9000 | Steps 143470/1000000 | Epsilon 0.29 | Last score: 10.0
Run 1 | Ep 9100 | Steps 144595/1000000 | Epsilon 0.28 | Last score: 12.0
Run 1 | Ep 9200 | Steps 145676/1000000 | Epsilon 0.28 | Last score: 11.0
Run 1 | Ep 9300 | Steps 146779/1000000 | Epsilon 0.27 | Last score: 11.0
Run 1 | Ep 9400 | Steps 147895/1000000 | Epsilon 0.27 | Last score: 12.0
Run 1 | Ep 9500 | Steps 149036/1000000 | Epsilon 0.26 | Last score: 12.0
Run 1 | Ep 9600 | Steps 150129/1000000 | Epsilon 0.26 | Last score: 12.0
Run 1 | Ep 9700 | Steps 151238/1000000 | Epsilon 0.25 | Last score: 10.0
Run 1 | Ep 9800 | Steps 152320/1000000 | Epsilon 0.25 | Last score: 13.0
Run 1 | Ep 9900 | Steps 153432/1000000 | Epsilon 0.24 | Last score: 17.0
Run 1 | Ep 10000 | Steps 154533/1000000 | Epsilon 0.24 | Last score: 14.0
Run 1 | Ep 10100 | Steps 155635/1000000 | Epsilon 0.23 | Last score: 11.0
Run 1 | Ep 10200 | Steps 156688/1000000 | Epsilon 0.22 | Last score: 12.0
Run 1 | Ep 10300 | Steps 157765/1000000 | Epsilon 0.22 | Last score: 11.0
Run 1 | Ep 10400 | Steps 158792/1000000 | Epsilon 0.21 | Last score: 11.0
Run 1 | Ep 10500 | Steps 159865/1000000 | Epsilon 0.21 | Last score: 11.0
Run 1 | Ep 10600 | Steps 160886/1000000 | Epsilon 0.20 | Last score: 8.0
Run 1 | Ep 10700 | Steps 161936/1000000 | Epsilon 0.20 | Last score: 9.0
Run 1 | Ep 10800 | Steps 162997/1000000 | Epsilon 0.19 | Last score: 16.0
Run 1 | Ep 10900 | Steps 164002/1000000 | Epsilon 0.19 | Last score: 13.0
Run 1 | Ep 11000 | Steps 165034/1000000 | Epsilon 0.18 | Last score: 14.0
Run 1 | Ep 11100 | Steps 166087/1000000 | Epsilon 0.18 | Last score: 11.0
Run 1 | Ep 11200 | Steps 167134/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11300 | Steps 168180/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11400 | Steps 169203/1000000 | Epsilon 0.16 | Last score: 9.0
Run 1 | Ep 11500 | Steps 170238/1000000 | Epsilon 0.16 | Last score: 11.0
Run 1 | Ep 11600 | Steps 171284/1000000 | Epsilon 0.15 | Last score: 15.0
Run 1 | Ep 11700 | Steps 172302/1000000 | Epsilon 0.15 | Last score: 9.0
Run 1 | Ep 11800 | Steps 173306/1000000 | Epsilon 0.14 | Last score: 9.0
Run 1 | Ep 11900 | Steps 174308/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12000 | Steps 175308/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12100 | Steps 176313/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12200 | Steps 177316/1000000 | Epsilon 0.12 | Last score: 10.0
Run 1 | Ep 12300 | Steps 178315/1000000 | Epsilon 0.12 | Last score: 9.0
Run 1 | Ep 12400 | Steps 179303/1000000 | Epsilon 0.11 | Last score: 9.0
Run 1 | Ep 12500 | Steps 180298/1000000 | Epsilon 0.11 | Last score: 10.0
Run 1 | Ep 12600 | Steps 181285/1000000 | Epsilon 0.10 | Last score: 11.0
Run 1 | Ep 12700 | Steps 182281/1000000 | Epsilon 0.10 | Last score: 12.0
Run 1 | Ep 12800 | Steps 183264/1000000 | Epsilon 0.09 | Last score: 13.0
Run 1 | Ep 12900 | Steps 184230/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13000 | Steps 185226/1000000 | Epsilon 0.08 | Last score: 9.0
Run 1 | Ep 13100 | Steps 186211/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13200 | Steps 187191/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13300 | Steps 188157/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13400 | Steps 189129/1000000 | Epsilon 0.06 | Last score: 8.0
Run 1 | Ep 13500 | Steps 190093/1000000 | Epsilon 0.06 | Last score: 10.0
Run 1 | Ep 13600 | Steps 191060/1000000 | Epsilon 0.05 | Last score: 10.0
Run 1 | Ep 13700 | Steps 192021/1000000 | Epsilon 0.05 | Last score: 10.0
Run 1 | Ep 13800 | Steps 192991/1000000 | Epsilon 0.04 | Last score: 10.0
Run 1 | Ep 13900 | Steps 193956/1000000 | Epsilon 0.04 | Last score: 9.0
Run 1 | Ep 14000 | Steps 194908/1000000 | Epsilon 0.04 | Last score: 10.0
Run 1 | Ep 14100 | Steps 195870/1000000 | Epsilon 0.03 | Last score: 10.0
Run 1 | Ep 14200 | Steps 196821/1000000 | Epsilon 0.03 | Last score: 9.0
Run 1 | Ep 14300 | Steps 197772/1000000 | Epsilon 0.02 | Last score: 8.0
Run 1 | Ep 14400 | Steps 198720/1000000 | Epsilon 0.02 | Last score: 10.0
Run 1 | Ep 14500 | Steps 199663/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14600 | Steps 200596/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 14700 | Steps 201537/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14800 | Steps 202468/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14900 | Steps 203396/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15000 | Steps 204327/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15100 | Steps 205267/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15200 | Steps 206203/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15300 | Steps 207141/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15400 | Steps 208083/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15500 | Steps 209019/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15600 | Steps 209943/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15700 | Steps 210893/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15800 | Steps 211826/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15900 | Steps 212764/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16000 | Steps 213708/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16100 | Steps 214646/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16200 | Steps 215583/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16300 | Steps 216533/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 16400 | Steps 217457/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16500 | Steps 218402/1000000 | Epsilon 0.01 | Last score: 9.0
