03-31 05:49:19: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 73288/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 7100 | Steps 74240/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 7200 | Steps 75182/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 7300 | Steps 76122/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 7400 | Steps 77057/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 7500 | Steps 78012/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 7600 | Steps 78953/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 7700 | Steps 79892/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 7800 | Steps 80831/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 7900 | Steps 81768/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 8000 | Steps 82708/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 8100 | Steps 83658/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 8200 | Steps 84607/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 8300 | Steps 85551/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 8400 | Steps 86496/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 8500 | Steps 87442/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 8600 | Steps 88380/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 8700 | Steps 89322/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 8800 | Steps 90277/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 8900 | Steps 91222/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9000 | Steps 92160/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9100 | Steps 93098/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9200 | Steps 94035/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9300 | Steps 94971/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9400 | Steps 95924/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 9500 | Steps 96855/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9600 | Steps 97780/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 9700 | Steps 98723/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 9800 | Steps 99661/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 9900 | Steps 100613/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 10000 | Steps 101540/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 10100 | Steps 102488/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 10200 | Steps 103427/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 10300 | Steps 104373/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 10400 | Steps 105315/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 10500 | Steps 106267/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 10600 | Steps 107220/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 10700 | Steps 108161/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 10800 | Steps 109099/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 10900 | Steps 110033/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11000 | Steps 110976/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11100 | Steps 111893/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 11200 | Steps 112834/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 11300 | Steps 113764/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11400 | Steps 114704/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 11500 | Steps 115653/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11600 | Steps 116606/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11700 | Steps 117545/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11800 | Steps 118478/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 11900 | Steps 119430/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 12000 | Steps 120388/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 12100 | Steps 121332/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 12200 | Steps 122268/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 12300 | Steps 123215/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 12400 | Steps 124148/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 12500 | Steps 125079/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 12600 | Steps 126024/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 12700 | Steps 126969/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 12800 | Steps 127917/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 12900 | Steps 128848/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 13000 | Steps 129785/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 13100 | Steps 130716/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 13200 | Steps 131650/1000000 | Epsilon 0.01 | Last score: 12.0
Run 1 | Ep 13300 | Steps 132583/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 13400 | Steps 133522/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 13500 | Steps 134463/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 13600 | Steps 135397/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 13700 | Steps 136337/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 13800 | Steps 137281/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 13900 | Steps 138242/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14000 | Steps 139174/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14100 | Steps 140120/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14200 | Steps 141056/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14300 | Steps 142005/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14400 | Steps 142934/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14500 | Steps 143873/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14600 | Steps 144808/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14700 | Steps 145745/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14800 | Steps 146678/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14900 | Steps 147613/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15000 | Steps 148561/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15100 | Steps 149503/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15200 | Steps 150441/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15300 | Steps 151401/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15400 | Steps 152336/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15500 | Steps 153272/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15600 | Steps 154221/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 15700 | Steps 155149/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15800 | Steps 156090/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15900 | Steps 157028/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 16000 | Steps 157964/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16100 | Steps 158907/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16200 | Steps 159855/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16300 | Steps 160803/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16400 | Steps 161739/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 16500 | Steps 162666/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16600 | Steps 163603/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16700 | Steps 164535/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16800 | Steps 165483/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16900 | Steps 166427/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17000 | Steps 167376/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17100 | Steps 168316/1000000 | Epsilon 0.01 | Last score: 10.0
