03-31 05:21:31: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 119485/1000000 | Epsilon 0.41 | Last score: 11.0
Run 1 | Ep 7100 | Steps 120724/1000000 | Epsilon 0.40 | Last score: 16.0
Run 1 | Ep 7200 | Steps 122014/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 7300 | Steps 123203/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7400 | Steps 124403/1000000 | Epsilon 0.38 | Last score: 11.0
Run 1 | Ep 7500 | Steps 125672/1000000 | Epsilon 0.38 | Last score: 11.0
Run 1 | Ep 7600 | Steps 126926/1000000 | Epsilon 0.37 | Last score: 9.0
Run 1 | Ep 7700 | Steps 128140/1000000 | Epsilon 0.37 | Last score: 8.0
Run 1 | Ep 7800 | Steps 129282/1000000 | Epsilon 0.36 | Last score: 11.0
Run 1 | Ep 7900 | Steps 130446/1000000 | Epsilon 0.35 | Last score: 17.0
Run 1 | Ep 8000 | Steps 131634/1000000 | Epsilon 0.35 | Last score: 10.0
Run 1 | Ep 8100 | Steps 132869/1000000 | Epsilon 0.34 | Last score: 14.0
Run 1 | Ep 8200 | Steps 134011/1000000 | Epsilon 0.34 | Last score: 8.0
Run 1 | Ep 8300 | Steps 135152/1000000 | Epsilon 0.33 | Last score: 9.0
Run 1 | Ep 8400 | Steps 136353/1000000 | Epsilon 0.33 | Last score: 11.0
Run 1 | Ep 8500 | Steps 137510/1000000 | Epsilon 0.32 | Last score: 30.0
Run 1 | Ep 8600 | Steps 138661/1000000 | Epsilon 0.31 | Last score: 11.0
Run 1 | Ep 8700 | Steps 139806/1000000 | Epsilon 0.31 | Last score: 12.0
Run 1 | Ep 8800 | Steps 140942/1000000 | Epsilon 0.30 | Last score: 11.0
Run 1 | Ep 8900 | Steps 142098/1000000 | Epsilon 0.30 | Last score: 10.0
Run 1 | Ep 9000 | Steps 143209/1000000 | Epsilon 0.29 | Last score: 12.0
Run 1 | Ep 9100 | Steps 144304/1000000 | Epsilon 0.29 | Last score: 11.0
Run 1 | Ep 9200 | Steps 145427/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 9300 | Steps 146552/1000000 | Epsilon 0.27 | Last score: 9.0
