03-31 05:35:24: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 118821/1000000 | Epsilon 0.41 | Last score: 11.0
Run 1 | Ep 7100 | Steps 120044/1000000 | Epsilon 0.41 | Last score: 12.0
Run 1 | Ep 7200 | Steps 121304/1000000 | Epsilon 0.40 | Last score: 18.0
Run 1 | Ep 7300 | Steps 122555/1000000 | Epsilon 0.39 | Last score: 20.0
Run 1 | Ep 7400 | Steps 123739/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7500 | Steps 124919/1000000 | Epsilon 0.38 | Last score: 10.0
Run 1 | Ep 7600 | Steps 126083/1000000 | Epsilon 0.38 | Last score: 15.0
Run 1 | Ep 7700 | Steps 127324/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 7800 | Steps 128535/1000000 | Epsilon 0.36 | Last score: 13.0
Run 1 | Ep 7900 | Steps 129707/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 8000 | Steps 130883/1000000 | Epsilon 0.35 | Last score: 11.0
Run 1 | Ep 8100 | Steps 132025/1000000 | Epsilon 0.35 | Last score: 13.0
Run 1 | Ep 8200 | Steps 133196/1000000 | Epsilon 0.34 | Last score: 11.0
Run 1 | Ep 8300 | Steps 134351/1000000 | Epsilon 0.33 | Last score: 10.0
Run 1 | Ep 8400 | Steps 135507/1000000 | Epsilon 0.33 | Last score: 12.0
Run 1 | Ep 8500 | Steps 136701/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 8600 | Steps 137854/1000000 | Epsilon 0.32 | Last score: 11.0
Run 1 | Ep 8700 | Steps 139011/1000000 | Epsilon 0.31 | Last score: 9.0
Run 1 | Ep 8800 | Steps 140163/1000000 | Epsilon 0.31 | Last score: 18.0
Run 1 | Ep 8900 | Steps 141326/1000000 | Epsilon 0.30 | Last score: 14.0
Run 1 | Ep 9000 | Steps 142497/1000000 | Epsilon 0.29 | Last score: 16.0
Run 1 | Ep 9100 | Steps 143617/1000000 | Epsilon 0.29 | Last score: 10.0
Run 1 | Ep 9200 | Steps 144773/1000000 | Epsilon 0.28 | Last score: 9.0
Run 1 | Ep 9300 | Steps 145884/1000000 | Epsilon 0.28 | Last score: 9.0
Run 1 | Ep 9400 | Steps 146992/1000000 | Epsilon 0.27 | Last score: 11.0
Run 1 | Ep 9500 | Steps 148098/1000000 | Epsilon 0.27 | Last score: 13.0
Run 1 | Ep 9600 | Steps 149150/1000000 | Epsilon 0.26 | Last score: 11.0
Run 1 | Ep 9700 | Steps 150264/1000000 | Epsilon 0.26 | Last score: 9.0
Run 1 | Ep 9800 | Steps 151349/1000000 | Epsilon 0.25 | Last score: 10.0
Run 1 | Ep 9900 | Steps 152421/1000000 | Epsilon 0.25 | Last score: 10.0
Run 1 | Ep 10000 | Steps 153482/1000000 | Epsilon 0.24 | Last score: 13.0
Run 1 | Ep 10100 | Steps 154596/1000000 | Epsilon 0.23 | Last score: 11.0
Run 1 | Ep 10200 | Steps 155680/1000000 | Epsilon 0.23 | Last score: 14.0
Run 1 | Ep 10300 | Steps 156728/1000000 | Epsilon 0.22 | Last score: 8.0
Run 1 | Ep 10400 | Steps 157790/1000000 | Epsilon 0.22 | Last score: 12.0
Run 1 | Ep 10500 | Steps 158866/1000000 | Epsilon 0.21 | Last score: 12.0
Run 1 | Ep 10600 | Steps 159898/1000000 | Epsilon 0.21 | Last score: 9.0
Run 1 | Ep 10700 | Steps 160974/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10800 | Steps 162037/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10900 | Steps 163074/1000000 | Epsilon 0.19 | Last score: 9.0
Run 1 | Ep 11000 | Steps 164117/1000000 | Epsilon 0.19 | Last score: 11.0
Run 1 | Ep 11100 | Steps 165149/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 11200 | Steps 166226/1000000 | Epsilon 0.18 | Last score: 13.0
Run 1 | Ep 11300 | Steps 167274/1000000 | Epsilon 0.17 | Last score: 9.0
Run 1 | Ep 11400 | Steps 168297/1000000 | Epsilon 0.17 | Last score: 12.0
Run 1 | Ep 11500 | Steps 169328/1000000 | Epsilon 0.16 | Last score: 10.0
Run 1 | Ep 11600 | Steps 170396/1000000 | Epsilon 0.16 | Last score: 11.0
Run 1 | Ep 11700 | Steps 171424/1000000 | Epsilon 0.15 | Last score: 9.0
Run 1 | Ep 11800 | Steps 172461/1000000 | Epsilon 0.15 | Last score: 8.0
Run 1 | Ep 11900 | Steps 173482/1000000 | Epsilon 0.14 | Last score: 9.0
Run 1 | Ep 12000 | Steps 174484/1000000 | Epsilon 0.14 | Last score: 8.0
Run 1 | Ep 12100 | Steps 175499/1000000 | Epsilon 0.13 | Last score: 13.0
Run 1 | Ep 12200 | Steps 176477/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12300 | Steps 177481/1000000 | Epsilon 0.12 | Last score: 11.0
Run 1 | Ep 12400 | Steps 178460/1000000 | Epsilon 0.12 | Last score: 11.0
Run 1 | Ep 12500 | Steps 179452/1000000 | Epsilon 0.11 | Last score: 9.0
Run 1 | Ep 12600 | Steps 180446/1000000 | Epsilon 0.11 | Last score: 10.0
Run 1 | Ep 12700 | Steps 181457/1000000 | Epsilon 0.10 | Last score: 10.0
Run 1 | Ep 12800 | Steps 182464/1000000 | Epsilon 0.10 | Last score: 9.0
Run 1 | Ep 12900 | Steps 183420/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13000 | Steps 184426/1000000 | Epsilon 0.09 | Last score: 10.0
Run 1 | Ep 13100 | Steps 185414/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13200 | Steps 186391/1000000 | Epsilon 0.08 | Last score: 8.0
Run 1 | Ep 13300 | Steps 187342/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13400 | Steps 188326/1000000 | Epsilon 0.07 | Last score: 9.0
Run 1 | Ep 13500 | Steps 189288/1000000 | Epsilon 0.06 | Last score: 9.0
Run 1 | Ep 13600 | Steps 190232/1000000 | Epsilon 0.06 | Last score: 10.0
Run 1 | Ep 13700 | Steps 191191/1000000 | Epsilon 0.05 | Last score: 10.0
Run 1 | Ep 13800 | Steps 192179/1000000 | Epsilon 0.05 | Last score: 9.0
Run 1 | Ep 13900 | Steps 193138/1000000 | Epsilon 0.04 | Last score: 10.0
Run 1 | Ep 14000 | Steps 194096/1000000 | Epsilon 0.04 | Last score: 9.0
Run 1 | Ep 14100 | Steps 195052/1000000 | Epsilon 0.03 | Last score: 10.0
Run 1 | Ep 14200 | Steps 196007/1000000 | Epsilon 0.03 | Last score: 9.0
Run 1 | Ep 14300 | Steps 196946/1000000 | Epsilon 0.03 | Last score: 10.0
Run 1 | Ep 14400 | Steps 197895/1000000 | Epsilon 0.02 | Last score: 10.0
Run 1 | Ep 14500 | Steps 198848/1000000 | Epsilon 0.02 | Last score: 9.0
Run 1 | Ep 14600 | Steps 199791/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14700 | Steps 200728/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14800 | Steps 201676/1000000 | Epsilon 0.01 | Last score: 10.0
