03-31 04:14:52: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 119106/1000000 | Epsilon 0.41 | Last score: 10.0
Run 1 | Ep 7100 | Steps 120329/1000000 | Epsilon 0.40 | Last score: 8.0
Run 1 | Ep 7200 | Steps 121583/1000000 | Epsilon 0.40 | Last score: 9.0
Run 1 | Ep 7300 | Steps 122843/1000000 | Epsilon 0.39 | Last score: 16.0
Run 1 | Ep 7400 | Steps 124076/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 7500 | Steps 125311/1000000 | Epsilon 0.38 | Last score: 16.0
Run 1 | Ep 7600 | Steps 126510/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 7700 | Steps 127755/1000000 | Epsilon 0.37 | Last score: 17.0
Run 1 | Ep 7800 | Steps 128968/1000000 | Epsilon 0.36 | Last score: 19.0
Run 1 | Ep 7900 | Steps 130129/1000000 | Epsilon 0.36 | Last score: 10.0
Run 1 | Ep 8000 | Steps 131335/1000000 | Epsilon 0.35 | Last score: 24.0
Run 1 | Ep 8100 | Steps 132540/1000000 | Epsilon 0.34 | Last score: 19.0
Run 1 | Ep 8200 | Steps 133735/1000000 | Epsilon 0.34 | Last score: 12.0
Run 1 | Ep 8300 | Steps 134887/1000000 | Epsilon 0.33 | Last score: 10.0
Run 1 | Ep 8400 | Steps 136050/1000000 | Epsilon 0.33 | Last score: 9.0
Run 1 | Ep 8500 | Steps 137248/1000000 | Epsilon 0.32 | Last score: 9.0
Run 1 | Ep 8600 | Steps 138395/1000000 | Epsilon 0.31 | Last score: 9.0
Run 1 | Ep 8700 | Steps 139555/1000000 | Epsilon 0.31 | Last score: 10.0
Run 1 | Ep 8800 | Steps 140712/1000000 | Epsilon 0.30 | Last score: 9.0
Run 1 | Ep 8900 | Steps 141858/1000000 | Epsilon 0.30 | Last score: 8.0
Run 1 | Ep 9000 | Steps 142999/1000000 | Epsilon 0.29 | Last score: 11.0
Run 1 | Ep 9100 | Steps 144138/1000000 | Epsilon 0.29 | Last score: 9.0
Run 1 | Ep 9200 | Steps 145223/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 9300 | Steps 146329/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 9400 | Steps 147425/1000000 | Epsilon 0.27 | Last score: 10.0
Run 1 | Ep 9500 | Steps 148528/1000000 | Epsilon 0.26 | Last score: 12.0
Run 1 | Ep 9600 | Steps 149654/1000000 | Epsilon 0.26 | Last score: 9.0
Run 1 | Ep 9700 | Steps 150724/1000000 | Epsilon 0.25 | Last score: 11.0
Run 1 | Ep 9800 | Steps 151853/1000000 | Epsilon 0.25 | Last score: 11.0
Run 1 | Ep 9900 | Steps 152967/1000000 | Epsilon 0.24 | Last score: 11.0
Run 1 | Ep 10000 | Steps 154043/1000000 | Epsilon 0.24 | Last score: 9.0
Run 1 | Ep 10100 | Steps 155135/1000000 | Epsilon 0.23 | Last score: 9.0
Run 1 | Ep 10200 | Steps 156184/1000000 | Epsilon 0.23 | Last score: 13.0
Run 1 | Ep 10300 | Steps 157223/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10400 | Steps 158329/1000000 | Epsilon 0.22 | Last score: 11.0
Run 1 | Ep 10500 | Steps 159424/1000000 | Epsilon 0.21 | Last score: 13.0
Run 1 | Ep 10600 | Steps 160489/1000000 | Epsilon 0.21 | Last score: 9.0
Run 1 | Ep 10700 | Steps 161538/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10800 | Steps 162579/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10900 | Steps 163593/1000000 | Epsilon 0.19 | Last score: 10.0
Run 1 | Ep 11000 | Steps 164661/1000000 | Epsilon 0.18 | Last score: 11.0
Run 1 | Ep 11100 | Steps 165700/1000000 | Epsilon 0.18 | Last score: 9.0
Run 1 | Ep 11200 | Steps 166725/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11300 | Steps 167771/1000000 | Epsilon 0.17 | Last score: 11.0
Run 1 | Ep 11400 | Steps 168803/1000000 | Epsilon 0.16 | Last score: 8.0
Run 1 | Ep 11500 | Steps 169840/1000000 | Epsilon 0.16 | Last score: 9.0
Run 1 | Ep 11600 | Steps 170852/1000000 | Epsilon 0.15 | Last score: 10.0
Run 1 | Ep 11700 | Steps 171869/1000000 | Epsilon 0.15 | Last score: 10.0
Run 1 | Ep 11800 | Steps 172894/1000000 | Epsilon 0.14 | Last score: 9.0
Run 1 | Ep 11900 | Steps 173917/1000000 | Epsilon 0.14 | Last score: 10.0
Run 1 | Ep 12000 | Steps 174922/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12100 | Steps 175923/1000000 | Epsilon 0.13 | Last score: 10.0
Run 1 | Ep 12200 | Steps 176911/1000000 | Epsilon 0.12 | Last score: 10.0
Run 1 | Ep 12300 | Steps 177902/1000000 | Epsilon 0.12 | Last score: 12.0
Run 1 | Ep 12400 | Steps 178892/1000000 | Epsilon 0.11 | Last score: 10.0
Run 1 | Ep 12500 | Steps 179893/1000000 | Epsilon 0.11 | Last score: 9.0
Run 1 | Ep 12600 | Steps 180879/1000000 | Epsilon 0.10 | Last score: 8.0
Run 1 | Ep 12700 | Steps 181884/1000000 | Epsilon 0.10 | Last score: 11.0
Run 1 | Ep 12800 | Steps 182880/1000000 | Epsilon 0.09 | Last score: 11.0
Run 1 | Ep 12900 | Steps 183867/1000000 | Epsilon 0.09 | Last score: 8.0
Run 1 | Ep 13000 | Steps 184857/1000000 | Epsilon 0.08 | Last score: 9.0
Run 1 | Ep 13100 | Steps 185863/1000000 | Epsilon 0.08 | Last score: 9.0
Run 1 | Ep 13200 | Steps 186845/1000000 | Epsilon 0.08 | Last score: 10.0
Run 1 | Ep 13300 | Steps 187824/1000000 | Epsilon 0.07 | Last score: 10.0
Run 1 | Ep 13400 | Steps 188787/1000000 | Epsilon 0.07 | Last score: 8.0
Run 1 | Ep 13500 | Steps 189758/1000000 | Epsilon 0.06 | Last score: 9.0
Run 1 | Ep 13600 | Steps 190740/1000000 | Epsilon 0.06 | Last score: 9.0
Run 1 | Ep 13700 | Steps 191703/1000000 | Epsilon 0.05 | Last score: 10.0
Run 1 | Ep 13800 | Steps 192649/1000000 | Epsilon 0.05 | Last score: 12.0
Run 1 | Ep 13900 | Steps 193599/1000000 | Epsilon 0.04 | Last score: 9.0
Run 1 | Ep 14000 | Steps 194553/1000000 | Epsilon 0.04 | Last score: 9.0
Run 1 | Ep 14100 | Steps 195504/1000000 | Epsilon 0.03 | Last score: 10.0
Run 1 | Ep 14200 | Steps 196472/1000000 | Epsilon 0.03 | Last score: 10.0
Run 1 | Ep 14300 | Steps 197402/1000000 | Epsilon 0.02 | Last score: 9.0
Run 1 | Ep 14400 | Steps 198355/1000000 | Epsilon 0.02 | Last score: 11.0
Run 1 | Ep 14500 | Steps 199296/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14600 | Steps 200234/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14700 | Steps 201180/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 14800 | Steps 202124/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 14900 | Steps 203067/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 15000 | Steps 204012/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 15100 | Steps 204952/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15200 | Steps 205908/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15300 | Steps 206856/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15400 | Steps 207783/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15500 | Steps 208722/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15600 | Steps 209671/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15700 | Steps 210612/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 15800 | Steps 211560/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 15900 | Steps 212497/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16000 | Steps 213432/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 16100 | Steps 214373/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16200 | Steps 215313/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 16300 | Steps 216246/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16400 | Steps 217174/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16500 | Steps 218110/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16600 | Steps 219055/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16700 | Steps 219996/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16800 | Steps 220936/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 16900 | Steps 221865/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17000 | Steps 222811/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17100 | Steps 223750/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 17200 | Steps 224694/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 17300 | Steps 225635/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17400 | Steps 226575/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17500 | Steps 227520/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 17600 | Steps 228460/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17700 | Steps 229391/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17800 | Steps 230331/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 17900 | Steps 231259/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18000 | Steps 232205/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18100 | Steps 233152/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18200 | Steps 234090/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18300 | Steps 235041/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 18400 | Steps 235974/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18500 | Steps 236933/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 18600 | Steps 237865/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18700 | Steps 238794/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 18800 | Steps 239739/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 18900 | Steps 240673/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19000 | Steps 241616/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19100 | Steps 242547/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19200 | Steps 243476/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19300 | Steps 244415/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19400 | Steps 245348/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19500 | Steps 246282/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19600 | Steps 247200/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 19700 | Steps 248143/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19800 | Steps 249078/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 19900 | Steps 250022/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20000 | Steps 250970/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20100 | Steps 251895/1000000 | Epsilon 0.01 | Last score: 11.0
Run 1 | Ep 20200 | Steps 252832/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20300 | Steps 253772/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20400 | Steps 254710/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20500 | Steps 255661/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 20600 | Steps 256595/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20700 | Steps 257527/1000000 | Epsilon 0.01 | Last score: 9.0
Run 1 | Ep 20800 | Steps 258464/1000000 | Epsilon 0.01 | Last score: 8.0
Run 1 | Ep 20900 | Steps 259405/1000000 | Epsilon 0.01 | Last score: 10.0
Run 1 | Ep 21000 | Steps 260331/1000000 | Epsilon 0.01 | Last score: 9.0
