03-31 06:03:27: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 141032/1000000 | Epsilon 0.67 | Last score: 14.0
Run 1 | Ep 7100 | Steps 142652/1000000 | Epsilon 0.66 | Last score: 27.0
Run 1 | Ep 7200 | Steps 144388/1000000 | Epsilon 0.66 | Last score: 9.0
Run 1 | Ep 7300 | Steps 146119/1000000 | Epsilon 0.65 | Last score: 19.0
Run 1 | Ep 7400 | Steps 147724/1000000 | Epsilon 0.65 | Last score: 21.0
Run 1 | Ep 7500 | Steps 149276/1000000 | Epsilon 0.65 | Last score: 16.0
Run 1 | Ep 7600 | Steps 150930/1000000 | Epsilon 0.64 | Last score: 14.0
Run 1 | Ep 7700 | Steps 152564/1000000 | Epsilon 0.64 | Last score: 15.0
Run 1 | Ep 7800 | Steps 154167/1000000 | Epsilon 0.63 | Last score: 12.0
Run 1 | Ep 7900 | Steps 155798/1000000 | Epsilon 0.63 | Last score: 16.0
Run 1 | Ep 8000 | Steps 157289/1000000 | Epsilon 0.63 | Last score: 15.0
Run 1 | Ep 8100 | Steps 158875/1000000 | Epsilon 0.62 | Last score: 12.0
Run 1 | Ep 8200 | Steps 160449/1000000 | Epsilon 0.62 | Last score: 13.0
Run 1 | Ep 8300 | Steps 162129/1000000 | Epsilon 0.61 | Last score: 15.0
Run 1 | Ep 8400 | Steps 163668/1000000 | Epsilon 0.61 | Last score: 17.0
Run 1 | Ep 8500 | Steps 165220/1000000 | Epsilon 0.61 | Last score: 20.0
Run 1 | Ep 8600 | Steps 166720/1000000 | Epsilon 0.60 | Last score: 23.0
Run 1 | Ep 8700 | Steps 168296/1000000 | Epsilon 0.60 | Last score: 12.0
Run 1 | Ep 8800 | Steps 169879/1000000 | Epsilon 0.60 | Last score: 15.0
Run 1 | Ep 8900 | Steps 171417/1000000 | Epsilon 0.59 | Last score: 20.0
Run 1 | Ep 9000 | Steps 172834/1000000 | Epsilon 0.59 | Last score: 12.0
Run 1 | Ep 9100 | Steps 174345/1000000 | Epsilon 0.59 | Last score: 11.0
Run 1 | Ep 9200 | Steps 175864/1000000 | Epsilon 0.58 | Last score: 19.0
Run 1 | Ep 9300 | Steps 177364/1000000 | Epsilon 0.58 | Last score: 13.0
Run 1 | Ep 9400 | Steps 178863/1000000 | Epsilon 0.58 | Last score: 9.0
Run 1 | Ep 9500 | Steps 180338/1000000 | Epsilon 0.57 | Last score: 10.0
Run 1 | Ep 9600 | Steps 181704/1000000 | Epsilon 0.57 | Last score: 11.0
Run 1 | Ep 9700 | Steps 183312/1000000 | Epsilon 0.56 | Last score: 11.0
Run 1 | Ep 9800 | Steps 184831/1000000 | Epsilon 0.56 | Last score: 18.0
Run 1 | Ep 9900 | Steps 186271/1000000 | Epsilon 0.56 | Last score: 11.0
Run 1 | Ep 10000 | Steps 187666/1000000 | Epsilon 0.55 | Last score: 9.0
Run 1 | Ep 10100 | Steps 189122/1000000 | Epsilon 0.55 | Last score: 14.0
Run 1 | Ep 10200 | Steps 190537/1000000 | Epsilon 0.55 | Last score: 11.0
Run 1 | Ep 10300 | Steps 191911/1000000 | Epsilon 0.54 | Last score: 10.0
Run 1 | Ep 10400 | Steps 193331/1000000 | Epsilon 0.54 | Last score: 11.0
Run 1 | Ep 10500 | Steps 194798/1000000 | Epsilon 0.54 | Last score: 11.0
Run 1 | Ep 10600 | Steps 196252/1000000 | Epsilon 0.53 | Last score: 10.0
Run 1 | Ep 10700 | Steps 197633/1000000 | Epsilon 0.53 | Last score: 8.0
Run 1 | Ep 10800 | Steps 199115/1000000 | Epsilon 0.53 | Last score: 15.0
Run 1 | Ep 10900 | Steps 200600/1000000 | Epsilon 0.52 | Last score: 10.0
Run 1 | Ep 11000 | Steps 201947/1000000 | Epsilon 0.52 | Last score: 13.0
Run 1 | Ep 11100 | Steps 203338/1000000 | Epsilon 0.52 | Last score: 13.0
Run 1 | Ep 11200 | Steps 204835/1000000 | Epsilon 0.51 | Last score: 15.0
Run 1 | Ep 11300 | Steps 206203/1000000 | Epsilon 0.51 | Last score: 13.0
Run 1 | Ep 11400 | Steps 207607/1000000 | Epsilon 0.51 | Last score: 10.0
Run 1 | Ep 11500 | Steps 208985/1000000 | Epsilon 0.50 | Last score: 19.0
Run 1 | Ep 11600 | Steps 210405/1000000 | Epsilon 0.50 | Last score: 20.0
Run 1 | Ep 11700 | Steps 211710/1000000 | Epsilon 0.50 | Last score: 10.0
Run 1 | Ep 11800 | Steps 213135/1000000 | Epsilon 0.49 | Last score: 16.0
Run 1 | Ep 11900 | Steps 214436/1000000 | Epsilon 0.49 | Last score: 12.0
Run 1 | Ep 12000 | Steps 215799/1000000 | Epsilon 0.49 | Last score: 11.0
Run 1 | Ep 12100 | Steps 217164/1000000 | Epsilon 0.48 | Last score: 10.0
Run 1 | Ep 12200 | Steps 218422/1000000 | Epsilon 0.48 | Last score: 10.0
Run 1 | Ep 12300 | Steps 219731/1000000 | Epsilon 0.48 | Last score: 12.0
Run 1 | Ep 12400 | Steps 221111/1000000 | Epsilon 0.47 | Last score: 16.0
Run 1 | Ep 12500 | Steps 222514/1000000 | Epsilon 0.47 | Last score: 12.0
Run 1 | Ep 12600 | Steps 223810/1000000 | Epsilon 0.47 | Last score: 11.0
Run 1 | Ep 12700 | Steps 225103/1000000 | Epsilon 0.47 | Last score: 12.0
Run 1 | Ep 12800 | Steps 226404/1000000 | Epsilon 0.46 | Last score: 12.0
Run 1 | Ep 12900 | Steps 227735/1000000 | Epsilon 0.46 | Last score: 12.0
Run 1 | Ep 13000 | Steps 229075/1000000 | Epsilon 0.46 | Last score: 17.0
Run 1 | Ep 13100 | Steps 230361/1000000 | Epsilon 0.45 | Last score: 11.0
Run 1 | Ep 13200 | Steps 231591/1000000 | Epsilon 0.45 | Last score: 10.0
Run 1 | Ep 13300 | Steps 232841/1000000 | Epsilon 0.45 | Last score: 10.0
Run 1 | Ep 13400 | Steps 234140/1000000 | Epsilon 0.44 | Last score: 13.0
Run 1 | Ep 13500 | Steps 235394/1000000 | Epsilon 0.44 | Last score: 15.0
Run 1 | Ep 13600 | Steps 236698/1000000 | Epsilon 0.44 | Last score: 10.0
Run 1 | Ep 13700 | Steps 238000/1000000 | Epsilon 0.43 | Last score: 9.0
Run 1 | Ep 13800 | Steps 239360/1000000 | Epsilon 0.43 | Last score: 23.0
Run 1 | Ep 13900 | Steps 240673/1000000 | Epsilon 0.43 | Last score: 15.0
Run 1 | Ep 14000 | Steps 242000/1000000 | Epsilon 0.43 | Last score: 10.0
Run 1 | Ep 14100 | Steps 243261/1000000 | Epsilon 0.42 | Last score: 11.0
Run 1 | Ep 14200 | Steps 244531/1000000 | Epsilon 0.42 | Last score: 11.0
Run 1 | Ep 14300 | Steps 245767/1000000 | Epsilon 0.42 | Last score: 11.0
Run 1 | Ep 14400 | Steps 247049/1000000 | Epsilon 0.41 | Last score: 12.0
Run 1 | Ep 14500 | Steps 248239/1000000 | Epsilon 0.41 | Last score: 13.0
Run 1 | Ep 14600 | Steps 249437/1000000 | Epsilon 0.41 | Last score: 14.0
Run 1 | Ep 14700 | Steps 250719/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 14800 | Steps 251952/1000000 | Epsilon 0.40 | Last score: 8.0
Run 1 | Ep 14900 | Steps 253226/1000000 | Epsilon 0.40 | Last score: 11.0
Run 1 | Ep 15000 | Steps 254483/1000000 | Epsilon 0.40 | Last score: 12.0
Run 1 | Ep 15100 | Steps 255720/1000000 | Epsilon 0.39 | Last score: 10.0
Run 1 | Ep 15200 | Steps 256932/1000000 | Epsilon 0.39 | Last score: 8.0
Run 1 | Ep 15300 | Steps 258128/1000000 | Epsilon 0.39 | Last score: 9.0
Run 1 | Ep 15400 | Steps 259344/1000000 | Epsilon 0.38 | Last score: 11.0
Run 1 | Ep 15500 | Steps 260564/1000000 | Epsilon 0.38 | Last score: 20.0
Run 1 | Ep 15600 | Steps 261826/1000000 | Epsilon 0.38 | Last score: 8.0
Run 1 | Ep 15700 | Steps 263057/1000000 | Epsilon 0.38 | Last score: 11.0
Run 1 | Ep 15800 | Steps 264208/1000000 | Epsilon 0.37 | Last score: 10.0
Run 1 | Ep 15900 | Steps 265454/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 16000 | Steps 266649/1000000 | Epsilon 0.37 | Last score: 13.0
Run 1 | Ep 16100 | Steps 267819/1000000 | Epsilon 0.36 | Last score: 11.0
Run 1 | Ep 16200 | Steps 269016/1000000 | Epsilon 0.36 | Last score: 12.0
Run 1 | Ep 16300 | Steps 270209/1000000 | Epsilon 0.36 | Last score: 11.0
Run 1 | Ep 16400 | Steps 271420/1000000 | Epsilon 0.36 | Last score: 15.0
Run 1 | Ep 16500 | Steps 272545/1000000 | Epsilon 0.35 | Last score: 12.0
Run 1 | Ep 16600 | Steps 273703/1000000 | Epsilon 0.35 | Last score: 14.0
Run 1 | Ep 16700 | Steps 274857/1000000 | Epsilon 0.35 | Last score: 9.0
Run 1 | Ep 16800 | Steps 275992/1000000 | Epsilon 0.34 | Last score: 10.0
Run 1 | Ep 16900 | Steps 277184/1000000 | Epsilon 0.34 | Last score: 10.0
Run 1 | Ep 17000 | Steps 278376/1000000 | Epsilon 0.34 | Last score: 13.0
Run 1 | Ep 17100 | Steps 279536/1000000 | Epsilon 0.34 | Last score: 9.0
Run 1 | Ep 17200 | Steps 280700/1000000 | Epsilon 0.33 | Last score: 12.0
Run 1 | Ep 17300 | Steps 281879/1000000 | Epsilon 0.33 | Last score: 12.0
Run 1 | Ep 17400 | Steps 283024/1000000 | Epsilon 0.33 | Last score: 9.0
Run 1 | Ep 17500 | Steps 284196/1000000 | Epsilon 0.33 | Last score: 9.0
Run 1 | Ep 17600 | Steps 285330/1000000 | Epsilon 0.32 | Last score: 11.0
Run 1 | Ep 17700 | Steps 286498/1000000 | Epsilon 0.32 | Last score: 9.0
Run 1 | Ep 17800 | Steps 287678/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 17900 | Steps 288827/1000000 | Epsilon 0.31 | Last score: 8.0
Run 1 | Ep 18000 | Steps 289999/1000000 | Epsilon 0.31 | Last score: 10.0
Run 1 | Ep 18100 | Steps 291108/1000000 | Epsilon 0.31 | Last score: 11.0
Run 1 | Ep 18200 | Steps 292243/1000000 | Epsilon 0.31 | Last score: 15.0
Run 1 | Ep 18300 | Steps 293376/1000000 | Epsilon 0.30 | Last score: 8.0
Run 1 | Ep 18400 | Steps 294511/1000000 | Epsilon 0.30 | Last score: 14.0
Run 1 | Ep 18500 | Steps 295641/1000000 | Epsilon 0.30 | Last score: 15.0
Run 1 | Ep 18600 | Steps 296731/1000000 | Epsilon 0.30 | Last score: 10.0
Run 1 | Ep 18700 | Steps 297884/1000000 | Epsilon 0.29 | Last score: 11.0
