03-31 04:00:55: Training starting...

Starting run 1/5.
Run 1 | Ep 7000 | Steps 118983/1000000 | Epsilon 0.41 | Last score: 9.0
Run 1 | Ep 7100 | Steps 120240/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 7200 | Steps 121459/1000000 | Epsilon 0.40 | Last score: 10.0
Run 1 | Ep 7300 | Steps 122684/1000000 | Epsilon 0.39 | Last score: 9.0
Run 1 | Ep 7400 | Steps 123896/1000000 | Epsilon 0.39 | Last score: 13.0
Run 1 | Ep 7500 | Steps 125081/1000000 | Epsilon 0.38 | Last score: 8.0
Run 1 | Ep 7600 | Steps 126293/1000000 | Epsilon 0.37 | Last score: 12.0
Run 1 | Ep 7700 | Steps 127500/1000000 | Epsilon 0.37 | Last score: 11.0
Run 1 | Ep 7800 | Steps 128689/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 7900 | Steps 129866/1000000 | Epsilon 0.36 | Last score: 9.0
Run 1 | Ep 8000 | Steps 131036/1000000 | Epsilon 0.35 | Last score: 22.0
Run 1 | Ep 8100 | Steps 132254/1000000 | Epsilon 0.35 | Last score: 10.0
Run 1 | Ep 8200 | Steps 133380/1000000 | Epsilon 0.34 | Last score: 9.0
Run 1 | Ep 8300 | Steps 134483/1000000 | Epsilon 0.33 | Last score: 10.0
Run 1 | Ep 8400 | Steps 135615/1000000 | Epsilon 0.33 | Last score: 16.0
Run 1 | Ep 8500 | Steps 136751/1000000 | Epsilon 0.32 | Last score: 12.0
Run 1 | Ep 8600 | Steps 137924/1000000 | Epsilon 0.32 | Last score: 9.0
Run 1 | Ep 8700 | Steps 139064/1000000 | Epsilon 0.31 | Last score: 17.0
Run 1 | Ep 8800 | Steps 140191/1000000 | Epsilon 0.31 | Last score: 12.0
Run 1 | Ep 8900 | Steps 141291/1000000 | Epsilon 0.30 | Last score: 12.0
Run 1 | Ep 9000 | Steps 142445/1000000 | Epsilon 0.29 | Last score: 13.0
Run 1 | Ep 9100 | Steps 143589/1000000 | Epsilon 0.29 | Last score: 10.0
Run 1 | Ep 9200 | Steps 144706/1000000 | Epsilon 0.28 | Last score: 24.0
Run 1 | Ep 9300 | Steps 145833/1000000 | Epsilon 0.28 | Last score: 10.0
Run 1 | Ep 9400 | Steps 146936/1000000 | Epsilon 0.27 | Last score: 13.0
Run 1 | Ep 9500 | Steps 148074/1000000 | Epsilon 0.27 | Last score: 9.0
Run 1 | Ep 9600 | Steps 149166/1000000 | Epsilon 0.26 | Last score: 8.0
Run 1 | Ep 9700 | Steps 150269/1000000 | Epsilon 0.26 | Last score: 11.0
Run 1 | Ep 9800 | Steps 151369/1000000 | Epsilon 0.25 | Last score: 9.0
Run 1 | Ep 9900 | Steps 152457/1000000 | Epsilon 0.25 | Last score: 11.0
Run 1 | Ep 10000 | Steps 153537/1000000 | Epsilon 0.24 | Last score: 13.0
Run 1 | Ep 10100 | Steps 154583/1000000 | Epsilon 0.23 | Last score: 11.0
Run 1 | Ep 10200 | Steps 155687/1000000 | Epsilon 0.23 | Last score: 8.0
Run 1 | Ep 10300 | Steps 156754/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10400 | Steps 157777/1000000 | Epsilon 0.22 | Last score: 9.0
Run 1 | Ep 10500 | Steps 158859/1000000 | Epsilon 0.21 | Last score: 10.0
Run 1 | Ep 10600 | Steps 159930/1000000 | Epsilon 0.21 | Last score: 9.0
Run 1 | Ep 10700 | Steps 160992/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10800 | Steps 162032/1000000 | Epsilon 0.20 | Last score: 10.0
Run 1 | Ep 10900 | Steps 163076/1000000 | Epsilon 0.19 | Last score: 10.0
Run 1 | Ep 11000 | Steps 164146/1000000 | Epsilon 0.19 | Last score: 18.0
Run 1 | Ep 11100 | Steps 165203/1000000 | Epsilon 0.18 | Last score: 11.0
Run 1 | Ep 11200 | Steps 166253/1000000 | Epsilon 0.18 | Last score: 10.0
Run 1 | Ep 11300 | Steps 167296/1000000 | Epsilon 0.17 | Last score: 10.0
Run 1 | Ep 11400 | Steps 168313/1000000 | Epsilon 0.17 | Last score: 8.0
